"path","sha256","size_bytes","media_type","description"
"CHANGELOG.md","5ded3e35d1bf14ca521e6c1600d7a334f46d80ff26880bdfb590169c15df5833","1246","text/markdown","Release history"
"CITATION.cff","696201d5509d5e97c4ab7e9975266c139b78e5e42272e58164460cb5ca70b73b","606","application/yaml","Machine-readable citation"
"cross-brand-context.csv","498d7cbb07111f3302e2a46ee8e627a9f266f92d1e7ec94e547bedc76d946a30","1331","text/csv","Aggregate same-shape lure-prefix context and attribution boundary"
"exact-hash-pivots.csv","6be12a0e720c6664bf56c04d5ea989cbafd8b9137c9e1847eaff517f5a9f9343","1316","text/csv","Exact content hashes and documented public observation counts"
"fixed-path-response-summary.csv","67a105c702ba914ca5dc13ae65f6e967fc8b74942c060b5968e53c5c0c6c4d1e","2144","text/csv","Publication-safe results of the hash-gated one-host fixed-path response comparison"
"graph.json","ac74f34806e89442e5f92597d8dc2cf588b51e96ff2e3ff762b593857713e8a2","7477","application/json","Observed and assessed relationship graph with explicit limitations"
"hostinger-domain-inventory.csv","388ece72f4f1201a4e763da9d930190543ba0fd16c2f328721f04e28a6ec0ca1","114854","text/csv","Complete defanged Hostinger domain inventory with roles, evidence tiers and safe-use guidance"
"hostname-generation-summary.csv","5a43059e89d7e4fd18df0a0dd1f928f6a18e016ab0821943033bc151e6c6b05a","859","text/csv","Aggregate deployment-name statistics and interpretation boundaries"
"indicators.csv","25fe396a596a031b6cf3ee4a48a60d7d3b5bef45bfc7143dd1a8cf999e5d76af","2828","text/csv","Defanged contextual indicators with lifecycle and blocking guidance"
"infrastructure-summary.csv","35af5168f3437f34b06298eae3354857dc6ee24ddca9cd6eabd415035032e94a","1784","text/csv","Aggregate infrastructure and bounded-verification results"
"LICENSE.md","34e303e066011033ee6d0ff7753c8814a13f7df407c904b6e19073b2ff070fa3","547","text/markdown","Licence and third-party material boundary"
"local-mock-flow.json","212742f7907f211abd77dc3dba5ad3c347e7efc1a0bfb01fe084e425a494313b","1145","application/json","Synthetic loopback-only request-shape reconstruction"
"observations.csv","5de469887476e7927983552d0beebefbca6a9cfb7201d235d2ef326b1c642931","4240","text/csv","Time-bounded observations and derived public counts"
"README.md","154849c6ae792ad707183af9924d5863cdd00554af59e6864d695107285735af","4714","text/markdown","Scope, findings, limitations and safe-use notes"
"reproduction-notes.md","bb3ebcb7d6de90d9fa56de8c0e8f707b4fc45dff7ae5155791187962cdbf02e4","5406","text/markdown","Safe offline reproduction method and analytical boundaries"
"sources.csv","1de50351e826000f1e9c489e594a436c5e97d02df76135d55f4fec8280f73bf4","1900","text/csv","Public source register with sensitive report locators withheld"
